Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,VSTOXX,EURIBOR3M,Daily_STIR,Theoretical_Spread
2023-07-17,4356.79,0.010280160997588156,0.1631924966239436,0.158316,0.03915,0.00015535714285714285,1.1255800685689792
2023-07-18,4369.73,0.010507850398620672,0.16680695381172736,0.15506,0.0387999999999999,0.00015396825396825356,1.1539269706356663
2023-07-19,4362.28,0.00958600947879843,0.15217318287845122,0.159653,0.0387999999999999,0.00015396825396825356,1.0508997061060654
2023-07-20,4373.73,0.008899893002747671,0.14128142148212536,0.156917,0.0389499999999999,0.00015456349206349168,0.9782428255880404
2023-07-21,4391.41,0.008352820342660713,0.13259691223608938,0.149422,0.0389499999999999,0.00015456349206349168,0.9218220223986009
2023-07-24,4383.03,0.0080375315368501,0.12759185760806488,0.15534,0.03875,0.00015376984126984128,0.8853339263650923
2023-07-25,4391.3,0.0077663588735488705,0.12328712503134025,0.154793,0.03855,0.0001529761904761905,0.8570784119308428
2023-07-26,4346.15,0.007490780389242512,0.11891245221441181,0.1609969999999999,0.0387,0.00015357142857142856,0.8181666959633276
2023-07-27,4447.44,0.008811219886996168,0.13987377940859103,0.1496529999999999,0.0384499999999999,0.00015257936507936468,0.9848181725028553
2023-07-28,4466.5,0.012925550820064325,0.2051867581705031,0.152189,0.0381,0.0001511904761904762,1.4508622098423984
2023-07-31,4471.31,0.011534258259188027,0.18310067346842585,0.162264,0.03825,0.00015178571428571427,1.296087304325738
2023-08-01,4407.54,0.010333992697797535,0.1640470483723784,0.171897,0.0381999999999999,0.0001515873015873012,1.1446540658705544
2023-08-02,4336.5,0.011587890043606972,0.1839520516520728,0.1970589999999999,0.0381,0.0001511904761904762,1.2628550884580818
2023-08-03,4304.63,0.012870400985057331,0.2043112816808546,0.196507,0.0381499999999999,0.0001513888888888885,1.39231556484242
2023-08-04,4332.91,0.01195442409076063,0.1897705992669124,0.183516,0.03825,0.00015178571428571427,1.301721626631661
2023-08-07,4337.5,0.01096970458873496,0.17413866178582066,0.186231,0.0382999999999999,0.00015198412698412658,1.1957606052294523
2023-08-08,4288.85,0.009894246134912238,0.15706628810063888,0.195393,0.0383499999999999,0.00015218253968253927,1.066432638559263
2023-08-09,4317.33,0.010548227597537362,0.16744792197355304,0.189796,0.0384,0.00015238095238095237,1.144470423249004
2023-08-10,4384.04,0.009917029158350027,0.15742795738542215,0.180764,0.0384999999999999,0.0001527777777777774,1.0926119833709436
2023-08-11,4321.33,0.011173401377316719,0.17737224805851967,0.183746,0.03855,0.0001529761904761905,1.2134241909363936
2023-08-14,4330.23,0.012131606185797169,0.19258327782835294,0.180529,0.0387,0.00015357142857142856,1.3201979650161775
2023-08-15,4288.57,0.010816447769874777,0.17170578520924715,0.188579,0.0387999999999999,0.00015396825396825356,1.1657542023663154
2023-08-16,4284.27,0.010834064868809189,0.1719854479848644,0.1855099999999999,0.03885,0.00015416666666666668,1.1664821381943966
2023-08-17,4227.83,0.009820749216343566,0.15589956068866526,0.203539,0.0389,0.00015436507936507934,1.0434508699897833
2023-08-18,4212.95,0.010981664442185363,0.17432851857349993,0.202456,0.03885,0.00015416666666666668,1.1626909653766688
2023-08-21,4224.87,0.010088313961706803,0.16014701934370193,0.198367,0.03905,0.00015496031746031747,1.071129049351839
2023-08-22,4260.37,0.009258743075521873,0.1469779897852332,0.191293,0.0389,0.00015436507936507934,0.9913094505855042
