Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,NIFVIX,IN003M,Daily_STIR,Theoretical_Spread
2021-10-22,15399.7,0.009481116516677806,0.1505080587261387,0.17545,0.0386,0.00015317460317460318,3.6692865264153625
2021-10-25,15334.35,0.009255972289025374,0.14693400491319844,0.1761,0.0386,0.00015317460317460318,3.5669523736341944
2021-10-26,15499.65,0.00895731187133647,0.14219291776321735,0.167525,0.0387,0.00015357142857142856,3.4890685132090766
2021-10-27,15484.35,0.009060732842130357,0.1438346747776343,0.168275,0.0386,0.00015317460317460318,3.5258692918014276
2021-10-28,15190.85,0.008643680959663651,0.13721418138872488,0.179125,0.0386,0.00015317460317460318,3.2998236638441085
2021-10-29,15086.9,0.010412500618226501,0.16529332297280175,0.17425,0.0386,0.00015317460317460318,3.9478886422079995
2021-11-01,15302.7,0.010182703399877844,0.16164540522245202,0.17235,0.0386,0.00015317460317460318,3.915984905703226
2021-11-02,15314.65,0.010521655669254417,0.16702610568900034,0.170625,0.0386,0.00015317460317460318,4.049496230588829
2021-11-03,15282.75,0.009974633018299048,0.15834239031331718,0.16125,0.0387,0.00015357142857142856,3.8309659801398084
2021-11-08,15520.15,0.009517454417330186,0.15108490501589292,0.1634,0.0387,0.00015357142857142856,3.7121592652652
2021-11-09,15541.95,0.010125020678903151,0.16072972041458464,0.160025,0.0386,0.00015317460317460318,3.9546793815234196
2021-11-10,15521.1,0.009607108072234123,0.15250811266591585,0.16305,0.0386,0.00015317460317460318,3.747356827490421
2021-11-11,15411.1,0.00915661256377861,0.14535671817316656,0.163525,0.0386,0.00015317460317460318,3.5463237102612766
2021-11-12,15579.0,0.009080399636521084,0.14414687545989655,0.152175,0.0386,0.00015317460317460318,3.5551214580482338
2021-11-15,15592.6,0.009180027376329239,0.14572841679919152,0.15465,0.0386,0.00015317460317460318,3.5972648295651197
2021-11-16,15525.4,0.008730945244399187,0.13859945896321382,0.15195,0.0386,0.00015317460317460318,3.4065438683946923
2021-11-17,15454.95,0.00848489672921036,0.13469355987333578,0.1498,0.0386,0.00015317460317460318,3.2955211582893753
2021-11-18,15302.55,0.008277400658251447,0.13139966186265403,0.148575,0.0388,0.00015396825396825397,3.1832279572718107
2021-11-22,14976.7,0.008619411665367324,0.13682891828550614,0.1752,0.0394,0.00015634920634920635,3.2441706625318147
2021-11-23,15107.8,0.010873931538334542,0.17261831174385128,0.18015,0.0397,0.00015753968253968254,4.128550995711976
2021-11-24,15046.5,0.010585440720206835,0.16803866198210243,0.17095,0.0394,0.00015634920634920635,4.002711366755648
2021-11-25,15150.6,0.010161358144332684,0.16130655979539033,0.166625,0.0395,0.00015674603174603175,3.8689351380880908
2021-11-26,14707.2,0.009817745312836933,0.15585187519881932,0.208025,0.0396,0.00015714285714285716,3.628704755299168
2021-11-29,14656.45,0.013462657252124349,0.2137130584513273,0.2083,0.0396,0.00015714285714285716,4.95871724033168
2021-11-30,14648.35,0.012789059107133155,0.20302001939988054,0.211675,0.0396,0.00015714285714285716,4.708006796736299
2021-12-01,14784.7,0.012093204795749985,0.1919736746599687,0.194475,0.0397,0.00015753968253968254,4.493282451882351
